"code","description","comment"
"43.12.11","Работы земляные; работы по расчистке территории","Эта группировка включает:- работы по подготовке сельскохозяйственных земель;- работы по подготовке строительного участка для последующих строительных работ, включая буровзрывные работы и работы по удалению скальных пород;- работы по подготовке участка для горных работ: работы по удалению вскрыши и прочие работы по разработке и подготовке месторождений полезных ископаемых и участков, включая прокладку тоннелей, кроме услуг, связанных с добычей нефти и газа;- работы по расчистке территории, удалению растительности;- работы по закреплению грунта;- работы по бурению горизонтальных каналов для прокладки кабелей или дренажных труб;- работы по отрывке траншей для осушения участкаЭта группировка не включает:- услуги по бурению, связанные с добычей нефти и природного газа, см. 09.10.11;- работы по бурению водозаборных скважин, см. 42.21.24"
"43.12.11.110","Работы по подготовке сельскохозяйственных земель",NA
"43.12.11.120","Работы по подготовке строительного участка для последующих строительных работ, включая буровзрывные работы и работы по удалению скальных пород",NA
"43.12.11.130","Работы по подготовке участка для горных работ: работы по удалению вскрыши и прочие работы по разработке и подготовке месторождений полезных ископаемых и участков, включая прокладку тоннелей, кроме услуг, связанных с добычей нефти и газа",NA
"43.12.11.140","Работы по расчистке территории, удалению растительности",NA
"43.12.11.150","Работы по закреплению (стабилизации) грунтов",NA
"43.12.11.160","Работы по бурению горизонтальных каналов для прокладки кабелей или дренажных труб",NA
"43.12.11.170","Работы по отрывке траншей для осушения участка",NA
"43.12.11.190","Работы земляные прочие, не включенные в другие группировки",NA
"43.12.12","Работы по отрывке и перемещению грунта","Эта группировка включает:- работы по отрывке траншей для коммунальных сетей, городских дренажных сетей, различных дорожных работ и т.д.;- работы по отрывке обычных траншей, котлованов для различных конструкций;- работы по удалению верхнего загрязненного слоя грунта;- работы по восстановлению территорий;- крупномасштабные земляные работы;- отрывку, планировку откосов, перемещение грунта при устройстве насыпей или выемок перед началом дорожного строительства (автомобильных дорог, автомагистралей, железных дорог и т.п.);- прочие работы по отрывке и перемещению грунта, не включенные в другие группировки"
"43.12.12.000","Работы по отрывке и перемещению грунта",NA
"43.13","Работы буровые и разведочные буровые",NA
"43.13.1","Работы буровые и разведочные буровые",NA
"43.13.10","Работы буровые и разведочные буровые","Эта группировка включает:- разведочные буровые и буровые работы, и работы по отбору проб грунта (кернов) для строительных целей, геофизических, геологических или аналогичных исследованийЭта группировка не включает:- услуги по бурению, связанные с добычей нефти и природного газа, см. 09.10.11;- вспомогательные разведочные буровые и буровые работы в процессе горных работ, см. 09.90.1;- работы по бурению водозаборных скважин, см. 42.21.24"
"43.13.10.110","Работы по отбору проб грунта (кернов) для строительных целей, геофизических, геологических или аналогичных исследований",NA
"43.13.10.120","Работы по бурению разведочных скважин на нефть и газ",NA
"43.13.10.130","Работы по бурению разведочных скважин на твердые полезные ископаемые",NA
"43.13.10.190","Работы разведочные буровые прочие",NA
"43.2","Работы электромонтажные, работы по монтажу водопроводных и канализационных систем и прочие строительно-монтажные работы",NA
"43.21","Работы электромонтажные",NA
"43.21.1","Работы электромонтажные",NA
